Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00     3474     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.01     0.00     3465     0.00     0.00  unsigned char const* std::__niter_base<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.01     0.00     3461     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&)
  0.00      0.01     0.00     3461     0.00     0.00  std::__future_base::_Result_base*&& std::forward<std::__future_base::_Result_base*>(std::remove_reference<std::__future_base::_Result_base*>::type&)
  0.00      0.01     0.00     3460     0.00     0.00  std::_Head_base<1ull, std::__future_base::_Result_base::_Deleter, true>::_Head_base<std::__future_base::_Result_base::_Deleter>(std::__future_base::_Result_base::_Deleter&&)
  0.00      0.01     0.00     3455     0.00     0.00  std::__future_base::_Result_base::_Deleter& std::__get_helper<1ull, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     3451     0.00     0.08  std::__shared_ptr<std::packaged_task<sf::Image ()>, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.01     0.00     3438     0.00     0.00  std::mutex::unlock()
  0.00      0.01     0.00     3437     0.00     0.08  std::shared_ptr<std::packaged_task<sf::Image ()> >::~shared_ptr()
  0.00      0.01     0.00     3426     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00      0.01     0.00     3426     0.00     0.00  std::unique_lock<std::mutex>::lock()
  0.00      0.01     0.00     3422     0.00     0.00  __gnu_cxx::new_allocator<std::packaged_task<sf::Image ()> >::~new_allocator()
  0.00      0.01     0.00     3412     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.01     0.00     3407     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.01     0.00     3398     0.00     0.00  std::mutex::lock()
  0.00      0.01     0.00     3391     0.00     0.00  std::__future_base::_Result<sf::Image>* const& std::__get_helper<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter> const&)
  0.00      0.01     0.00     3388     0.00     0.00  std::mutex* std::__addressof<std::mutex>(std::mutex&)
  0.00      0.01     0.00     3387     0.00     0.00  std::_Tuple_impl<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter> const&)
  0.00      0.01     0.00     3387     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  0.00      0.01     0.00     3380     0.00     0.00  std::_Head_base<0ull, std::__future_base::_Result<sf::Image>*, false>::_M_head(std::_Head_base<0ull, std::__future_base::_Result<sf::Image>*, false> const&)
  0.00      0.01     0.00     3380     0.00     0.00  std::tuple_element<0ull, std::tuple<std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter> >::type const& std::get<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter> const&)
  0.00      0.01     0.00     3376     0.00     0.00  std::unique_ptr<std::__future_base::_Result<sf::Image>, std::__future_base::_Result_base::_Deleter>::get() const
  0.00      0.01     0.00     3370     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result<sf::Image>, std::__future_base::_Result_base::_Deleter>::_M_ptr() const
  0.00      0.01     0.00     3362     0.00     0.04  std::_Function_base::~_Function_base()
  0.00      0.01     0.00     3346     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
  0.00      0.01     0.00     3335     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.01     0.00     3293     0.00     0.00  std::unique_lock<std::mutex>::~unique_lock()
  0.00      0.01     0.00     2617     0.00     0.00  std::remove_reference<std::__future_base::_State_baseV2*&>::type&& std::move<std::__future_base::_State_baseV2*&>(std::__future_base::_State_baseV2*&)
  0.00      0.01     0.00     2610     0.00     0.00  __gnu_cxx::new_allocator<std::packaged_task<sf::Image ()> >::new_allocator(__gnu_cxx::new_allocator<std::packaged_task<sf::Image ()> > const&)
  0.00      0.01     0.00     2601     0.00     0.00  std::tuple_element<0ull, std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter> >::type& std::get<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     2596     0.00     0.00  std::__future_base::_Result_base*& std::__get_helper<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     2591     0.00     0.00  std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>::_Tuple_impl<std::__future_base::_Result_base::_Deleter>(std::__future_base::_Result_base::_Deleter&&)
  0.00      0.01     0.00     2589     0.00     0.00  std::tuple_element<1ull, std::tuple<std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter> >::type& std::get<1ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     2588     0.00     0.00  std::unique_ptr<std::__future_base::_Result<sf::Image>, std::__future_base::_Result_base::_Deleter>::release()
  0.00      0.01     0.00     2587     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::_M_ptr()
  0.00      0.01     0.00     2586     0.00     0.00  std::remove_reference<std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>&>::type&& std::move<std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>&>(std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     2584     0.00     0.00  __gnu_cxx::__aligned_buffer<std::packaged_task<sf::Image ()> >::_M_addr()
  0.00      0.01     0.00     2583     0.00     0.00  __gnu_cxx::__aligned_buffer<sf::Image>::_M_addr()
  0.00      0.01     0.00     2583     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result<sf::Image>, std::__future_base::_Result_base::_Deleter>::_M_deleter()
  0.00      0.01     0.00     2581     0.00     0.00  std::__future_base::_Result<sf::Image>*& std::forward<std::__future_base::_Result<sf::Image>*&>(std::remove_reference<std::__future_base::_Result<sf::Image>*&>::type&)
  0.00      0.01     0.00     2576     0.00     0.00  std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::~unique_ptr()
  0.00      0.01     0.00     2570     0.00     0.00  __gnu_cxx::__aligned_buffer<std::packaged_task<sf::Image ()> >::_M_ptr()
  0.00      0.01     0.00     2569     0.00     0.00  std::__shared_ptr<std::__future_base::_State_baseV2, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.01     0.00     2569     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      0.01     0.00     2564     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.01     0.00     2562     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<sf::Image ()>, std::allocator<std::packaged_task<sf::Image ()> >, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.01     0.00     2561     0.00     0.00  std::remove_reference<std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>&>::type&& std::move<std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>&>(std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     2558     0.00     0.00  std::shared_ptr<std::__future_base::_State_baseV2>::~shared_ptr()
  0.00      0.01     0.00     2554     0.00     0.00  std::unique_ptr<std::__future_base::_Result<sf::Image>, std::__future_base::_Result_base::_Deleter>::get_deleter()
  0.00      0.01     0.00     2551     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.01     0.00     2549     0.00     0.00  std::allocator<std::packaged_task<sf::Image ()> >::~allocator()
  0.00      0.01     0.00     2547     0.00     0.00  std::__shared_ptr<std::__future_base::_Task_state_base<sf::Image ()>, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.01     0.00     2536     0.00     0.00  std::__shared_ptr_access<std::__future_base::_Task_state_base<sf::Image ()>, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.01     0.00     2536     0.00     0.00  std::future<sf::Image>&& std::forward<std::future<sf::Image> >(std::remove_reference<std::future<sf::Image> >::type&)
  0.00      0.01     0.00     2521     0.00     0.00  std::__shared_ptr_access<std::__future_base::_Task_state_base<sf::Image ()>, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.01     0.00     2482     0.00     0.04  std::function<void ()>::~function()
  0.00      0.01     0.00     2406     0.00     0.00  std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&& std::forward<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>(std::remove_reference<std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*>::type&)
  0.00      0.01     0.00     2396     0.00     0.00  std::__future_base::_State_baseV2*&& std::forward<std::__future_base::_State_baseV2*>(std::remove_reference<std::__future_base::_State_baseV2*>::type&)
  0.00      0.01     0.00     2374     0.00     0.00  bool*&& std::forward<bool*>(std::remove_reference<bool*>::type&)
  0.00      0.01     0.00     2338     0.00     0.00  __gnu_cxx::__normal_iterator<std::future<sf::Image>*, std::vector<std::future<sf::Image>, std::allocator<std::future<sf::Image> > > >::base() const
  0.00      0.01     0.00     2274     0.00     0.00  __gnu_cxx::__normal_iterator<std::future<sf::Image>*, std::vector<std::future<sf::Image>, std::allocator<std::future<sf::Image> > > >::__normal_iterator(std::future<sf::Image>* const&)
  0.00      0.01     0.00     1753     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.01     0.00     1751     0.00     0.00  std::_Sp_ebo_helper<0, std::allocator<int>, true>::_S_get(std::_Sp_ebo_helper<0, std::allocator<int>, true>&)
  0.00      0.01     0.00     1744     0.00     0.00  std::unique_ptr<std::__future_base::_Result<sf::Image>, std::__future_base::_Result_base::_Deleter>::~unique_ptr()
  0.00      0.01     0.00     1741     0.00     0.00  unsigned char* std::__copy_move_a<false, unsigned char const*, unsigned char*>(unsigned char const*, unsigned char const*, unsigned char*)
  0.00      0.01     0.00     1738     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::~_Sp_counted_base()
  0.00      0.01     0.00     1736     0.00     0.00  std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>::operator=(std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&&)
  0.00      0.01     0.00     1734     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::begin() const
  0.00      0.01     0.00     1734     0.00     0.00  std::allocator<std::packaged_task<sf::Image ()> >::allocator(std::allocator<std::packaged_task<sf::Image ()> > const&)
  0.00      0.01     0.00     1733     0.00     0.00  unsigned char* std::copy<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.01     0.00     1732     0.00     0.00  std::remove_reference<std::shared_ptr<std::packaged_task<sf::Image ()> >&>::type&& std::move<std::shared_ptr<std::packaged_task<sf::Image ()> >&>(std::shared_ptr<std::packaged_task<sf::Image ()> >&)
  0.00      0.01     0.00     1731     0.00     0.00  std::__shared_ptr<std::packaged_task<sf::Image ()>, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<std::packaged_task<sf::Image ()>, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      0.01     0.00     1729     0.00     0.00  unsigned char* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*, unsigned char>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.01     0.00     1729     0.00     0.00  std::remove_reference<std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&>::type&& std::move<std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&>(std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     1728     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<sf::Image ()>, std::allocator<std::packaged_task<sf::Image ()> >, (__gnu_cxx::_Lock_policy)2> >::new_allocator()
  0.00      0.01     0.00     1728     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::end() const
  0.00      0.01     0.00     1728     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  0.00      0.01     0.00     1728     0.00     0.00  std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>::operator=(std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>&&)
  0.00      0.01     0.00     1728     0.00     0.00  unsigned char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.01     0.00     1728     0.00     0.00  unsigned char* std::__niter_base<unsigned char*>(unsigned char*)
  0.00      0.01     0.00     1727     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned char>, unsigned char>::_S_select_on_copy(std::allocator<unsigned char> const&)
  0.00      0.01     0.00     1727     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_Sp_counted_base()
  0.00      0.01     0.00     1727     0.00     0.00  std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>::tuple<std::__future_base::_Result_base*&, std::__future_base::_Result_base::_Deleter, true>(std::__future_base::_Result_base*&, std::__future_base::_Result_base::_Deleter&&)
  0.00      0.01     0.00     1726     0.00     0.00  unsigned char* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.01     0.00     1725     0.00     0.00  std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>::operator=(std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&&)
  0.00      0.01     0.00     1724     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::max_size() const
  0.00      0.01     0.00     1723     0.00     0.00  std::shared_ptr<std::packaged_task<sf::Image ()> >::shared_ptr(std::shared_ptr<std::packaged_task<sf::Image ()> >&&)
  0.00      0.01     0.00     1722     0.00     0.00  std::_Head_base<0ull, std::__future_base::_Result_base*, false>::_Head_base<std::__future_base::_Result_base*&>(std::__future_base::_Result_base*&)
  0.00      0.01     0.00     1722     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      0.01     0.00     1722     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::allocate(std::allocator<unsigned char>&, unsigned long long)
  0.00      0.01     0.00     1721     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base(unsigned long long, std::allocator<unsigned char> const&)
  0.00      0.01     0.00     1721     0.00     0.00  std::__basic_future<sf::Image>::~__basic_future()
  0.00      0.01     0.00     1721     0.00     0.00  unsigned char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      0.01     0.00     1720     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      0.01     0.00     1720     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      0.01     0.00     1719     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_create_storage(unsigned long long)
  0.00      0.01     0.00     1718     0.00     0.00  std::_Head_base<0ull, std::__future_base::_Result_base*, false>::_M_head(std::_Head_base<0ull, std::__future_base::_Result_base*, false> const&)
  0.00      0.01     0.00     1718     0.00     0.00  std::future<sf::Image>::~future()
  0.00      0.01     0.00     1717     0.00     0.00  std::__shared_ptr<std::__future_base::_State_baseV2, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  0.00      0.01     0.00     1717     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::__uniq_ptr_impl<std::__future_base::_Result_base::_Deleter>(std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter&&)
  0.00      0.01     0.00     1716     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::allocate(unsigned long long, void const*)
  0.00      0.01     0.00     1716     0.00     0.00  std::__shared_ptr<std::__future_base::_State_baseV2, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.01     0.00     1716     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<sf::Image ()>, std::allocator<std::packaged_task<sf::Image ()> >, (__gnu_cxx::_Lock_policy)2> >::allocator<std::packaged_task<sf::Image ()> >(std::allocator<std::packaged_task<sf::Image ()> > const&)
  0.00      0.01     0.00     1716     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::operator=(std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>&&)
  0.00      0.01     0.00     1715     0.00     0.00  __gnu_cxx::__normal_iterator<std::future<sf::Image>*, std::vector<std::future<sf::Image>, std::allocator<std::future<sf::Image> > > >::operator*() const
  0.00      0.01     0.00     1713     0.00     0.00  std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>::_Tuple_impl<std::__future_base::_Result_base*&, std::__future_base::_Result_base::_Deleter, void>(std::__future_base::_Result_base*&, std::__future_base::_Result_base::_Deleter&&)
  0.00      0.01     0.00     1713     0.00     0.00  unsigned char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned char>(unsigned char const*, unsigned char const*, unsigned char*)
